t_s,waypoint_idx,J1_cmd_deg,J1_act_deg,J1_err_deg,J2_cmd_deg,J2_act_deg,J2_err_deg,J3_cmd_deg,J3_act_deg,J3_err_deg,J4_cmd_deg,J4_act_deg,J4_err_deg,J5_cmd_deg,J5_act_deg,J5_err_deg,J6_cmd_deg,J6_act_deg,J6_err_deg,max_abs_err_deg,over_threshold
0.000,0,3.568,3.600,+0.032,88.962,89.000,+0.038,2.546,2.500,-0.046,-4.730,-4.700,+0.030,-2.158,-2.200,-0.042,120.089,120.100,+0.011,0.046,0
0.410,2,8.969,4.000,-4.969,87.763,88.900,+1.137,4.565,2.700,-1.865,-7.891,-5.000,+2.891,-4.799,-2.300,+2.499,120.089,120.100,+0.011,4.969,0
0.819,4,21.453,8.500,-12.953,83.252,87.500,+4.248,12.718,5.100,-7.618,-15.883,-7.900,+7.983,-6.356,-3.700,+2.656,120.089,120.100,+0.011,12.953,1
1.229,6,32.416,16.300,-16.116,78.005,84.700,+6.695,21.377,10.000,-11.377,-21.999,-12.600,+9.399,-5.635,-4.900,+0.735,120.089,120.100,+0.011,16.116,1
1.639,8,40.053,25.200,-14.853,72.434,80.700,+8.266,30.022,16.800,-13.222,-27.039,-17.900,+9.139,-3.707,-5.000,-1.293,120.089,120.100,+0.011,14.853,1
2.048,10,45.257,33.300,-11.957,66.504,75.800,+9.296,38.576,24.500,-14.076,-31.529,-23.100,+8.429,-1.565,-4.200,-2.635,120.089,120.100,+0.011,14.076,1
2.459,12,48.840,39.900,-8.940,60.208,70.300,+10.092,46.894,32.700,-14.194,-35.647,-28.000,+7.647,0.454,-2.600,-3.054,120.089,120.100,+0.011,14.194,1
2.870,14,51.362,44.900,-6.462,53.567,64.300,+10.733,54.806,40.900,-13.906,-39.484,-32.400,+7.084,2.283,-0.800,-3.083,120.089,120.100,+0.011,13.906,1
3.281,16,53.078,48.500,-4.578,47.095,58.000,+10.905,61.650,48.900,-12.750,-42.867,-36.500,+6.367,3.833,0.900,-2.933,120.089,120.100,+0.011,12.750,1
3.691,18,54.241,51.000,-3.241,41.170,51.800,+10.630,67.130,56.100,-11.030,-45.741,-40.100,+5.641,5.107,2.600,-2.507,120.089,120.100,+0.011,11.030,1
4.102,20,55.084,52.800,-2.284,35.694,45.600,+9.906,71.474,62.300,-9.174,-48.255,-43.300,+4.955,6.196,4.000,-2.196,120.089,120.100,+0.011,9.906,1
4.513,22,55.724,54.100,-1.624,30.622,39.900,+9.278,74.806,67.400,-7.406,-50.482,-46.200,+4.282,7.147,5.200,-1.947,120.089,120.100,+0.011,9.278,1
4.924,24,56.228,55.000,-1.228,25.937,34.600,+8.663,77.195,71.500,-5.695,-52.454,-48.600,+3.854,7.985,6.100,-1.885,120.089,120.000,-0.089,8.663,1
5.333,26,56.634,55.700,-0.934,21.641,29.600,+7.959,78.680,74.700,-3.980,-54.174,-50.700,+3.474,8.718,6.800,-1.918,120.089,120.000,-0.089,7.959,1
5.742,28,56.965,56.200,-0.765,17.816,25.100,+7.284,79.275,76.800,-2.475,-55.602,-52.700,+2.902,9.334,6.800,-2.534,120.089,120.100,+0.011,7.284,1
6.152,30,57.209,56.700,-0.509,14.840,21.000,+6.160,79.107,78.100,-1.007,-56.605,-54.300,+2.305,9.779,6.400,-3.379,120.089,120.100,+0.011,6.160,1
6.561,32,57.387,57.000,-0.387,12.636,17.600,+4.964,78.501,78.600,+0.099,-57.249,-55.500,+1.749,10.075,5.700,-4.375,120.089,120.000,-0.089,4.964,0
