t_s,waypoint_idx,J1_cmd_deg,J1_act_deg,J1_err_deg,J2_cmd_deg,J2_act_deg,J2_err_deg,J3_cmd_deg,J3_act_deg,J3_err_deg,J4_cmd_deg,J4_act_deg,J4_err_deg,J5_cmd_deg,J5_act_deg,J5_err_deg,J6_cmd_deg,J6_act_deg,J6_err_deg,max_abs_err_deg,over_threshold
0.000,0,-3.814,-3.800,+0.014,89.541,89.500,-0.041,1.566,1.600,+0.034,-1.318,-1.300,+0.018,-0.001,0.100,+0.101,0.000,-0.000,-0.000,0.101,0
0.410,2,-12.453,-4.600,+7.853,87.315,89.300,+1.985,7.081,2.100,-4.981,-3.700,-1.500,+2.200,1.152,0.200,-0.952,0.000,-0.000,-0.000,7.853,1
0.822,4,-28.465,-10.500,+17.965,84.734,88.200,+3.466,13.671,5.100,-8.571,-4.688,-2.500,+2.188,3.749,1.000,-2.749,0.000,-0.000,-0.000,17.965,1
1.232,6,-46.908,-21.700,+25.208,81.067,86.000,+4.933,22.578,10.500,-12.078,-5.018,-3.600,+1.418,7.028,2.800,-4.228,0.000,-0.000,-0.000,25.208,1
1.641,8,-62.765,-36.200,+26.565,77.678,83.100,+5.422,31.098,17.600,-13.498,-4.592,-4.300,+0.292,9.481,5.300,-4.181,0.000,-0.000,-0.000,26.565,1
2.051,10,-75.374,-51.100,+24.274,74.749,80.000,+5.251,39.095,25.400,-13.695,-3.676,-4.400,-0.724,10.760,7.400,-3.360,0.000,0.000,+0.000,24.274,1
2.461,12,-84.960,-64.600,+20.360,72.430,77.100,+4.670,46.523,33.300,-13.223,-2.420,-3.900,-1.480,11.088,9.100,-1.988,0.000,0.000,+0.000,20.360,1
2.872,14,-92.116,-75.900,+16.216,70.871,74.500,+3.629,53.353,40.900,-12.453,-0.953,-3.000,-2.047,10.833,10.200,-0.633,0.000,-0.000,-0.000,16.216,1
3.283,16,-97.141,-84.900,+12.241,70.258,72.600,+2.342,59.134,48.000,-11.134,0.500,-1.800,-2.300,10.331,10.500,+0.169,0.000,0.000,+0.000,12.241,1
3.694,18,-100.605,-91.700,+8.905,70.530,71.400,+0.870,63.712,54.300,-9.412,1.772,-0.500,-2.272,9.811,10.400,+0.589,0.000,-0.000,-0.000,9.412,1
4.103,20,-103.135,-96.700,+6.435,71.561,71.100,-0.461,67.336,59.600,-7.736,2.843,0.800,-2.043,9.355,10.000,+0.645,0.000,0.000,+0.000,7.736,1
4.513,22,-105.062,-100.300,+4.762,73.270,71.500,-1.770,70.143,63.900,-6.243,3.704,2.000,-1.704,8.996,9.600,+0.604,0.000,0.000,+0.000,6.243,1
4.923,24,-106.578,-103.000,+3.578,75.603,72.700,-2.903,72.210,67.400,-4.810,4.348,2.900,-1.448,8.746,9.300,+0.554,0.000,0.000,+0.000,4.810,0
5.332,26,-107.799,-105.000,+2.799,78.512,74.500,-4.012,73.581,70.100,-3.481,4.773,3.700,-1.073,8.612,9.000,+0.388,0.000,0.000,+0.000,4.012,0
5.742,28,-108.787,-106.600,+2.187,81.886,76.900,-4.986,74.271,72.000,-2.271,4.979,4.300,-0.679,8.597,8.800,+0.203,0.000,0.000,+0.000,4.986,0
