t_s,waypoint_idx,J1_cmd_deg,J1_act_deg,J1_err_deg,J2_cmd_deg,J2_act_deg,J2_err_deg,J3_cmd_deg,J3_act_deg,J3_err_deg,J4_cmd_deg,J4_act_deg,J4_err_deg,J5_cmd_deg,J5_act_deg,J5_err_deg,J6_cmd_deg,J6_act_deg,J6_err_deg,max_abs_err_deg,over_threshold
0.000,0,3.643,3.700,+0.057,89.155,89.200,+0.045,1.988,2.000,+0.012,-3.957,-4.000,-0.043,-2.049,-2.100,-0.051,-6.067,-6.100,-0.033,0.057,0
0.411,2,9.699,4.100,-5.599,87.813,89.000,+1.187,4.627,2.200,-2.427,-8.169,-4.400,+3.769,-3.923,-2.200,+1.723,-6.067,-6.100,-0.033,5.599,1
0.823,4,22.128,8.800,-13.328,84.367,87.900,+3.533,11.316,4.500,-6.816,-16.544,-7.600,+8.944,-4.057,-3.000,+1.057,-6.067,-6.100,-0.033,13.328,1
1.233,6,32.884,16.800,-16.084,80.663,85.700,+5.037,18.370,8.800,-9.570,-24.842,-13.100,+11.742,-1.304,-3.100,-1.796,-6.067,-6.100,-0.033,16.084,1
1.644,8,40.124,25.600,-14.524,77.103,82.700,+5.597,24.952,14.400,-10.552,-33.123,-20.000,+13.123,2.615,-1.700,-4.315,-6.067,-6.100,-0.033,14.524,1
2.055,10,44.946,33.600,-11.346,73.580,79.400,+5.820,30.982,20.500,-10.482,-41.628,-27.800,+13.828,6.681,0.900,-5.781,-6.067,-6.100,-0.033,13.828,1
2.466,12,48.222,39.800,-8.422,70.013,76.000,+5.987,36.334,26.500,-9.834,-50.284,-35.900,+14.384,10.600,4.300,-6.300,-6.067,-6.100,-0.033,14.384,1
2.878,14,50.514,44.500,-6.014,66.330,72.500,+6.170,40.876,32.100,-8.776,-58.924,-44.400,+14.524,14.304,8.000,-6.304,-6.067,-6.100,-0.033,14.524,1
3.288,16,52.076,47.800,-4.276,62.718,68.900,+6.182,44.256,37.000,-7.256,-66.774,-52.800,+13.974,17.536,11.600,-5.936,-6.067,-6.100,-0.033,13.974,1
3.698,18,53.150,50.100,-3.050,59.306,65.300,+5.994,46.466,41.000,-5.466,-73.377,-60.700,+12.677,20.186,15.000,-5.186,-6.067,-6.100,-0.033,12.677,1
4.108,20,53.948,51.800,-2.148,55.987,61.800,+5.813,47.760,44.000,-3.760,-78.887,-67.900,+10.987,22.370,18.100,-4.270,-6.067,-6.100,-0.033,10.987,1
4.517,22,54.577,53.100,-1.477,52.708,58.400,+5.692,48.304,46.000,-2.304,-83.377,-74.100,+9.277,24.146,20.400,-3.746,-6.067,-6.100,-0.033,9.277,1
4.926,24,55.097,53.900,-1.197,49.449,55.100,+5.651,48.214,47.200,-1.014,-86.874,-79.300,+7.574,25.544,22.500,-3.044,-6.067,-6.100,-0.033,7.574,1
5.336,26,55.543,54.600,-0.943,46.209,51.800,+5.591,47.584,47.700,+0.116,-89.382,-83.500,+5.882,26.575,24.200,-2.375,-6.067,-6.100,-0.033,5.882,1
5.746,28,55.932,55.100,-0.832,43.064,48.600,+5.536,46.513,47.500,+0.987,-90.869,-86.700,+4.169,27.232,25.600,-1.632,-6.067,-6.100,-0.033,5.536,1
6.155,30,56.238,55.600,-0.638,40.390,45.400,+5.010,45.279,46.900,+1.621,-91.364,-88.900,+2.464,27.514,26.400,-1.114,-6.067,-6.100,-0.033,5.010,1
6.565,32,56.474,56.000,-0.474,38.238,42.600,+4.362,44.086,45.900,+1.814,-91.217,-90.200,+1.017,27.546,27.000,-0.546,-6.067,-6.100,-0.033,4.362,0
6.975,34,56.650,56.200,-0.450,36.590,40.100,+3.510,43.057,44.900,+1.843,-90.753,-90.700,+0.053,27.444,27.300,-0.144,-6.067,-6.100,-0.033,3.510,0
7.387,36,56.772,56.500,-0.272,35.427,38.200,+2.773,42.275,43.900,+1.625,-90.233,-90.700,-0.467,27.303,27.400,+0.097,-6.067,-6.100,-0.033,2.773,0
7.798,38,56.843,56.700,-0.143,34.735,36.700,+1.965,41.789,43.000,+1.211,-89.845,-90.400,-0.555,27.190,27.300,+0.110,-6.067,-6.100,-0.033,1.965,0
8.709,39,56.867,56.800,-0.067,34.505,34.900,+0.395,41.624,41.900,+0.276,-89.703,-89.900,-0.197,27.148,27.200,+0.052,-6.067,-6.100,-0.033,0.395,0
